x17_horizon_correct_adjusted,x13_gain_magnitude,x24_pseudo0x2Doptimal_horizon0x2D1,x37_binary_energy,x6_continuous_energy_trial_start,x14_p_foraging_gain,x19_wait_when_safe,x7_weather_type,BNW_conditions,x22_optimal_policy
514.2980248838337,475.5699493909073,482.25372161449417,468.84846979591543,484.2347654587061,359.3452385329897,500.6489035396204,323.0201664062183,479.9157517834435,400.7087629962565
393.60354795664466,431.76877859750766,412.0650561195882,345.2503986770212,291.0716726208998,404.4205877397594,254.41487062843248,387.4922906905597,222.0825802216237,192.5820066216147
495.1163852248549,491.130726711234,479.69958637905904,438.64726710894377,451.2010545735378,467.47932691063886,434.9980912042378,432.7211217800282,403.38168335555457,334.64133926498863
288.63526408052735,249.33440990951974,284.7453575657171,283.93911032327213,274.6532166198685,208.3448159041219,274.3227026102637,256.24116854643984,274.2091037732356,284.61885923019094
505.28502341009954,503.8816205546212,477.3918638904666,451.73728372889923,472.87482765722484,439.90440413015233,459.4282014609242,428.935891718753,432.6458059130668,349.97334752958574
453.95823051899026,445.9579023538887,432.16893240484444,426.4109207464444,446.9996033785375,370.18497609139376,459.9280029895482,388.83187277078605,451.45128173956493,408.5702102885675
477.0005636301864,479.93335162289026,444.52535502138556,424.30157685744666,452.4863366052673,390.8912108801179,441.8931215902133,389.87653737136276,414.4638151197734,338.67574192045873
465.4900490457643,438.3987905381732,457.9381037899915,458.1473089656173,437.5593036582213,376.9574140927735,435.855995616127,319.75120267821035,432.5185847530611,369.94873486143365
434.0758856112336,417.2105498755923,379.927770105626,363.92896660340085,381.38318802133733,372.7207756143661,394.6802437879341,347.6069632238257,358.0824568120463,249.17023907732025
426.7436172054603,422.47402933242853,400.9793808280905,356.67252439161723,338.38404690147274,392.31539620706894,378.6139578042406,367.0154587518462,341.18374998668537,316.61926278711053
472.3043054185434,460.78086175199013,504.66632051781534,493.1729565611966,453.5469006031001,443.02488939226276,421.07495889241403,403.28212324528675,431.0682284751778,343.8754513952965
461.5917888516636,485.727747374912,458.6852550614871,437.27312390643704,415.8226283626554,465.30024765317785,366.9116616836511,444.5080575122005,358.7993277688524,304.47289792280804
512.1474781266546,510.86196333624974,455.72581442099283,405.24869998495177,394.6123587747413,485.96528327962193,440.9434114555589,443.9429539144475,383.71046471696445,331.5432065269019
478.66139498772304,518.5660727965904,467.6284126672872,397.7253960670762,379.8003216156001,500.02040911446454,321.38103611687836,473.2476049353513,270.9067573378836,215.95203808788045
511.15964409607534,519.0651507998043,505.88107111541984,438.13138541070504,420.784082638655,487.85619995895985,423.11020713550744,429.92588992583427,379.2433892130966,310.80624601557395
447.9463909706196,416.8450075844094,436.7207938729248,436.53556039389235,439.7209581685906,280.5563213683911,444.36412686840674,318.84774621879205,439.0620434650409,410.3228791551297
388.03890500756586,391.7912226855682,390.7966257671005,392.07087102053094,385.96961131460534,389.2135022956503,385.4536449421125,383.2208580335838,388.84865145588304,391.5397763718945
466.8036311541925,503.8183632020453,488.3471157566128,442.278678515358,439.6949991890088,467.35217888881635,387.13697746665554,439.61158116021244,360.12732711656,307.2542587378828
422.7220609456555,469.7230445204228,464.5191739617159,407.3075859194807,339.35833393164023,457.17817660717117,308.2053609649184,448.01911594677614,291.0639314881524,337.3368673129142
442.528511251995,409.3058728094271,411.8396460442154,416.50166049366914,429.80231703453603,318.6082430780254,433.53966545970866,294.5095367337505,420.6846708581181,354.58805614706625
376.42443792794415,371.1744766713377,353.58234962239976,363.9112900271013,373.78096417132457,295.2422889198944,369.5564040688937,305.5013508813013,362.3658488005051,317.2842700424429
376.7018111131452,307.8727150273272,381.95969031978706,366.11247712848444,358.206989941279,331.0721481051721,369.05657958881824,333.31015015379774,360.742815865121,380.26424767247505
536.5564746827065,530.359305062216,481.2486980167451,447.518525111632,493.4239472253646,497.3428828893672,461.0620493566025,472.10364779954625,418.53131397932924,274.74439330280563
425.8823458031253,422.87772313230187,405.8432160914352,386.8674220579189,372.7262534987934,386.1842140220119,358.7737828250187,376.19728680446985,341.5257586305622,313.87854018159203
496.4387338399465,440.1565859004496,466.67896297464245,458.44327302559986,471.448093297932,404.43327891897707,472.77452067348486,351.02270431608633,455.00654273177145,375.4575449511382
475.6226673488279,511.57951449571124,480.6449466803437,409.4875521909443,379.25000210906137,480.61715067330107,334.6837274944126,458.10605712918164,290.72964990941796,258.7794783792763
409.0517011560631,356.13425535037373,384.1311650519988,384.6615367776526,399.91472967250945,272.08174619574555,400.9102349033407,299.6642993690945,390.32734757624024,327.2796880609229
