Intercept,BNW_conditions[T.0],BNW_conditions[T.1],x7_weather_type,BNW_conditions[T.0]:x7_weather_type,BNW_conditions[T.1]:x7_weather_type,x14_p_foraging_gain,BNW_conditions[T.0]:x14_p_foraging_gain,BNW_conditions[T.1]:x14_p_foraging_gain,x7_weather_type:x14_p_foraging_gain,BNW_conditions[T.0]:x7_weather_type:x14_p_foraging_gain,BNW_conditions[T.1]:x7_weather_type:x14_p_foraging_gain
0.14169096027763328,-0.14169096027763975,-0.14169096027763925,-0.10685055800913425,0.10685055800914016,0.10685055800913998,-0.232310153238125,0.2323101532381354,0.23231015323813334,0.16626617160543972,-0.16626617160544893,-0.16626617160544746
-0.14169096027764255,0.6022271595462678,0.14169096027764724,0.10685055800914121,-0.5298391449692552,-0.10685055800914574,0.23231015323814055,-0.9603883426072785,-0.23231015323814724,-0.1662661716054508,0.8172794310734621,0.16626617160545684
-0.14169096027763547,0.1416909602776289,7.738980005689241,0.10685055800913451,-0.106850558009128,-7.610062071922632,0.2323101532381306,-0.23231015323812026,-9.78060812532,-0.16626617160544108,0.16626617160543122,9.442988979603069
-0.10685055800913444,0.10685055800913956,0.10685055800913891,0.08943035687488873,-0.08943035687489342,-0.0894303568748931,0.16626617160543375,-0.16626617160544194,-0.16626617160544002,-0.13324418078909975,0.13324418078910696,0.13324418078910563
0.10685055800914314,-0.5298391449692568,-0.10685055800914664,-0.08943035687489527,0.49364513768074864,0.08943035687489874,-0.16626617160544832,0.8172794310734666,0.1662661716054532,0.1332441807891101,-0.7457249753065542,-0.13324418078911474
0.10685055800913663,-0.10685055800912883,-7.610062071922639,-0.089430356874889,0.08943035687488142,7.545603105039371,-0.16626617160543924,0.16626617160542703,9.4429889796029,0.1332441807891011,-0.13324418078908953,-9.274179406744569
-0.2323101532381256,0.23231015323813628,0.23231015323813578,0.16626617160543392,-0.16626617160544377,-0.16626617160544382,0.4260359890566448,-0.4260359890566621,-0.426035989056659,-0.28460816782937515,0.2846081678293904,0.2846081678293882
0.23231015323814025,-0.9603883426072778,-0.2323101532381487,-0.16626617160544493,0.8172794310734637,0.16626617160545312,-0.4260359890566695,1.6691666569727914,0.4260359890566813,0.2846081678293927,-1.3465792993171282,-0.2846081678294035
0.2323101532381284,-0.23231015323812246,-9.78060812531996,-0.1662661716054341,0.16626617160542828,9.44298897960285,-0.4260359890566518,0.42603598905664275,13.607828542163897,0.28460816782937687,-0.2846081678293679,-12.432908180312781
0.16626617160544035,-0.16626617160544832,-0.16626617160544757,-0.1332441807891,0.13324418078910735,0.13324418078910708,-0.2846081678293754,0.28460816782938825,0.28460816782938536,0.213894257215753,-0.21389425721576433,-0.21389425721576225
-0.1662661716054538,0.8172794310734643,0.16626617160545976,0.1332441807891101,-0.7457249753065542,-0.13324418078911598,0.28460816782939796,-1.3465792993171326,-0.2846081678294062,-0.21389425721576905,1.185285620489294,0.2138942572157767
-0.16626617160544307,0.16626617160543494,9.442988979603053,0.13324418078910025,-0.1332441807890924,-9.274179406744542,0.28460816782938214,-0.2846081678293696,-12.432908180312813,-0.2138942572157547,0.2138942572157426,11.845447999387419
