model_name,participant_intercept_variance,participant_intercept_sd,singular,convergence
p_success,0.9131707584523043,0.9555996852512585,FALSE,OK
gain_magnitude,0.3917535781273453,0.6259022113136726,FALSE,OK
remaining_time,0.3396810768448888,0.5828216509747118,FALSE,OK
continuous_energy,0.41175320511005686,0.6416799865275968,FALSE,OK
weather_type,0.7003031905821586,0.8368411979474711,FALSE,OK
expected_energy_change,1.2054647142821264,1.0979365711561513,FALSE,OK
ternary_state,0.3919498871501595,0.6260590125141235,FALSE,OK
ternary_weather,0.9737715832576634,0.9867986538588627,FALSE,OK
factorial_policy,1.6247820302029745,1.2746693807426985,FALSE,OK
optimal_policy,0.494678858008491,0.7033341012694401,FALSE,OK
