x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
308,1,1,576,1,2,1,2,25,798,1,0,1,0.6,NaN,4,4,2,0,0,0,-0.05625,0,-0.4,-0.2,6.68210859744981,0,0,0,0,0,0,0,0,0,0,0,3,0,1.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.2,0.6,1,1,0.6,0.9
308,1,2,576,2,0,0,0,2,822,0,0,0,1,NaN,4,3,2,0,-2,0,0,0,0,0,6.71174039505618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
308,1,3,576,3,0,0,0,25,834,0,0,0,1,NaN,4,2,2,0,0,0,0,0,0,0,6.72623340235875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
308,1,4,576,4,0,0,0,25,823,0,0,0,1,NaN,4,1,2,0,0,0,0,0,0,0,6.71295620067707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
308,1,5,494,1,2,1,1,2,934,1,5,3,0.5,NaN,4,4,1,0,0,0,-0.1,0,-0.5,0.5,6.83947643822884,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,3,4,0.5,0.7
308,1,6,494,2,5,1,1,25,1128,0,4,3,0.5,NaN,4,3,1,1,3,2,0,2,0,0.5,7.028201432058,1,0,0,0,0,0,0,0,0,0,0,5,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,0,3,4,0.5,0.7
308,1,7,494,3,4,1,1,2,1036,1,2,3,0.5,NaN,4,2,1,1,-1,2,0,2,0,0.5,6.94312242281943,1,0,0,0,0,0,0,0,0,0,0,5,2,3.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0,3,4,0.5,0.7
308,1,8,494,4,2,2,2,25,850,1,0,4,0.7,NaN,4,1,1,1,-2,0,-0.3,0,-0.3,2.2,6.74523634948436,0,0,0,0,0,0,0,0,0,0,0,5,0,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0.7,1.5,0,3,4,0.5,0.7
308,1,9,68,1,2,1,2,2,943,0,1,1,0.1,NaN,4,4,2,0,-2,0,-0.2175,0,-0.9,-1.7,6.84906628263346,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.7,0.1,1,3,0.1,0.5
308,1,10,68,2,1,1,1,25,1781,0,0,1,0.1,NaN,4,3,2,0,-1,1,0.04,1,0.1,-1.7,7.48493028328966,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0.1,0.5
