x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
324,1,1,576,1,2,2,1,2,417,1,0,1,0.9,NaN,4,4,2,0,0,1,0.225,0,-0.1,0.7,6.0330862217988,0,0,0,0,0,0,0,0,0,0,0,3,0,2.7,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.7,0.9,1,1,0.6,0.9
324,1,2,576,2,0,0,0,2,1307,0,0,0,1,NaN,4,3,2,0,-2,0,0,0,0,0,7.17548971362422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
324,1,3,576,3,0,0,0,25,1634,0,0,0,1,NaN,4,2,2,0,0,0,0,0,0,0,7.39878627541995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
324,1,4,576,4,0,0,0,2,579,0,0,0,1,NaN,4,1,2,0,0,0,0,0,0,0,6.361302477573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.6,0.9
324,1,5,494,1,2,1,2,25,300,1,5,3,0.5,NaN,4,4,1,0,0,0,-0.1,0,-0.5,0.5,5.7037824746562,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,3,4,0.5,0.7
324,1,6,494,2,5,1,2,2,379,0,4,3,0.5,NaN,4,3,1,1,3,2,0,2,0,0.5,5.93753620508243,1,0,0,0,0,0,0,0,0,0,0,5,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,0,3,4,0.5,0.7
324,1,7,494,3,4,1,2,25,1257,1,2,3,0.5,NaN,4,2,1,1,-1,2,0,2,0,0.5,7.13648320859025,1,0,0,0,0,0,0,0,0,0,0,5,2,3.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0,3,4,0.5,0.7
324,1,8,494,4,2,1,1,25,1678,0,1,3,0.5,NaN,4,1,1,1,-2,0,-0.5,0,-0.5,0.5,7.42535788702715,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,3,4,0.5,0.7
324,1,9,68,1,2,1,2,2,1605,0,1,1,0.1,NaN,4,4,2,0,-1,0,-0.2175,0,-0.9,-1.7,7.38087903556412,0,0,0,0,0,0,0,0,0,0,0,3,0,0.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.7,0.1,1,3,0.1,0.5
324,1,10,68,2,1,2,2,25,1903,1,4,3,0.5,NaN,4,3,2,0,-1,1,0.5,1,0.5,0.5,7.55118686729615,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0.1,0.5
324,1,11,68,3,4,1,1,25,1721,0,3,1,0.1,NaN,4,2,2,1,3,2,0,2,0,-1.7,7.45066079621154,1,0,0,0,0,0,0,0,0,0,0,5,2,2.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.7,0,1,3,0.1,0.5
324,1,12,68,4,3,1,1,2,660,1,1,1,0.1,NaN,4,1,2,1,-1,2,0,2,0,-1.7,6.49223983502047,1,0,0,0,0,0,0,0,0,0,0,4,1,1.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.7,0,1,3,0.1,0.5
324,1,13,391,1,2,2,2,2,1076,0,1,0,0.6,NaN,5,5,1,0,-2,1,0.0272,0,-0.4,-0.8,6.98100574072173,0,0,0,0,0,0,0,0,0,0,0,2,0,1.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.8,0.6,0,0,0.4,0.6
324,1,14,391,2,1,1,2,25,1600,1,0,0,0.4,NaN,5,4,1,0,-1,1,0.05,1,0.4,-1.2,7.37775890822787,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.4,0.6
324,1,15,391,3,0,0,0,25,1142,0,0,0,0,NaN,5,3,1,0,-1,0,0,0,0,-2,7.04053639021596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.6
324,1,16,391,4,0,0,0,2,922,0,0,0,0,NaN,5,2,1,0,0,0,0,0,0,-2,6.82654522355659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.6
324,1,17,391,5,0,0,0,2,612,0,0,0,0,NaN,5,1,1,0,0,0,0,0,0,-2,6.41673228251233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.6
