x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
333,1,1,728,1,3,1,1,25,1047,0,2,1,0.1,NaN,4,4,2,0,0,0,-0.030375,2,0,-1.7,6.95368421087054,0,0,0,0,0,0,0,0,0,0,0,4,1,1.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.7,0.1,1,3,0.1,0.4
333,1,2,728,2,2,2,2,25,544,1,0,3,0.4,NaN,4,3,2,0,-1,1,0.15,0,-0.6,2.22044604925031e-16,6.29894924685594,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0.4,1,3,0.1,0.4
333,1,3,728,3,0,0,0,25,755,0,0,0,3,NaN,4,2,2,0,-2,0,0,0,0,4,6.62671774924902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.4
333,1,4,728,4,0,0,0,25,675,0,0,0,3,NaN,4,1,2,0,0,0,0,0,0,4,6.51471269087253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.4
333,1,5,863,1,3,2,1,2,744,1,5,3,0.5,NaN,3,3,1,0,0,1,0.25,2,0,0.5,6.61204103483309,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,3,0.2,0.5
333,1,6,863,2,5,2,2,25,842,1,3,3,0.5,NaN,3,2,1,1,2,2,0,2,0,0.5,6.73578001424233,1,0,0,0,0,0,0,0,0,0,0,5,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1,0,1,3,0.2,0.5
333,1,7,863,3,3,2,2,25,894,1,5,3,0.5,NaN,3,1,1,1,-2,2,0,2,0,0.5,6.79570577517351,1,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,3,0.2,0.5
333,1,8,721,1,3,1,1,25,1016,0,2,0,0.1,NaN,3,3,2,0,2,0,-0.16875,2,0,-1.8,6.92362862813843,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.1,0,0,0.1,0.4
333,1,9,721,2,2,2,2,25,541,1,0,0,0.4,NaN,3,2,2,0,-1,1,0.15,0,-0.6,-1.2,6.29341927884648,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,0,0.1,0.4
333,1,10,721,3,0,0,0,25,923,0,0,0,0,NaN,3,1,2,0,-2,0,0,0,0,-2,6.82762923450285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.4
333,1,11,883,1,3,2,1,2,615,1,1,3,0.6,NaN,3,3,1,0,0,1,0.26,2,0,1,6.42162226780652,0,0,0,0,0,0,0,0,0,0,0,5,1,3.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.6,3,3,0.2,0.6
333,1,12,883,2,1,1,1,25,1115,0,0,3,0.2,NaN,3,2,1,0,-2,1,0.2,1,0.2,-1,7.01660968389422,0,0,0,0,0,0,0,0,0,0,1,4,0,0.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,0.2,0.6
333,1,13,883,3,0,0,0,25,697,0,0,0,3,NaN,3,1,1,0,-1,0,0,0,0,4,6.54678541076052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,3,0.2,0.6
333,1,14,275,1,2,1,1,25,1309,0,1,0,0.3,NaN,5,5,2,0,0,0,-0.14,0,-0.7,-1.4,7.1770187659099,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,1,0.3,-1.4,0.3,0,4,0.3,0.4
333,1,15,275,2,1,2,1,2,577,1,5,4,0.4,NaN,5,4,2,0,-1,1,0.4,1,0.4,0.4,6.3578422665081,0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0.3,0.4
333,1,16,275,3,5,1,2,2,1370,0,4,0,0.3,NaN,5,3,2,1,4,2,0,2,0,-1.4,7.22256601882217,1,0,0,0,0,0,0,0,0,0,0,5,3,3.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1.4,0,0,4,0.3,0.4
333,1,17,275,4,4,2,1,2,896,1,2,4,0.4,NaN,5,2,2,1,-1,2,0,2,0,0.4,6.79794041297493,1,0,0,0,0,0,0,0,0,0,0,5,2,3.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.8,0,0,4,0.3,0.4
333,1,18,275,5,2,2,2,25,1861,1,0,4,0.4,NaN,5,1,2,1,-2,0,-0.6,0,-0.6,0.4,7.52886925664225,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,4,0.3,0.4
333,1,19,755,1,3,1,1,25,795,0,2,0,0.1,NaN,4,4,1,0,-2,0,-0.1143625,2,0,-1.8,6.67834211465433,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.1,0,4,0.1,0.6
333,1,20,755,2,2,1,2,2,739,0,1,0,0.1,NaN,4,3,1,0,-1,0,-0.27,0,-0.9,-1.8,6.6052979209482,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,1,0.1,-1.8,0.1,0,4,0.1,0.6
