x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_index_forests,x14_current_gain_magnitude,xempty,xempty,x17_weather_1_gain_magnitude,x18_weather_2_gain_magnitude,x19_weather_1_p_gain,x20_weather_2_p_gain,x21_dono,x22_dono,x23_dono,x24_dono,x25_dono,x26_dono,x27_expected_energy_no_bounds,x28_expected_energy_w_boundaries,x29_dono,x30_dono,x31_dono
101.0,1.0,17.0,108.0,2.0,1.0,2.0,2.0,98.0,1050.0,1.0,0.0,108.0,2.0,0.0,0.0,0.0,2.0,0.1,0.8,2.0,6.0,0.506811875,0.6791437499999999,0.33447999999999994,-1.8,1.2000000000000002,-0.29999999999999993,2.0,4.0,108.0
101.0,1.0,18.0,108.0,3.0,0.0,0.0,0.0,98.0,464.0,0.0,0.0,108.0,2.0,0.0,0.0,0.0,2.0,0.1,0.8,2.0,6.0,0.506811875,0.6791437499999999,0.33447999999999994,-1.8,1.2000000000000002,-0.29999999999999993,2.0,4.0,108.0
101.0,1.0,19.0,108.0,4.0,0.0,0.0,0.0,98.0,610.0,0.0,0.0,108.0,2.0,0.0,0.0,0.0,2.0,0.1,0.8,2.0,6.0,0.506811875,0.6791437499999999,0.33447999999999994,-1.8,1.2000000000000002,-0.29999999999999993,2.0,4.0,108.0
101.0,1.0,20.0,108.0,5.0,0.0,0.0,0.0,98.0,559.0,0.0,0.0,108.0,2.0,0.0,0.0,0.0,2.0,0.1,0.8,2.0,6.0,0.506811875,0.6791437499999999,0.33447999999999994,-1.8,1.2000000000000002,-0.29999999999999993,2.0,4.0,108.0
101.0,1.0,21.0,1435.0,1.0,4.0,1.0,1.0,98.0,955.0,0.0,3.0,1435.0,4.0,0.0,0.0,2.0,2.0,0.1,0.6,2.0,5.0,0.40555,0.42660000000000003,0.3845,-1.6,0.3999999999999999,-0.6000000000000001,1.0,5.0,1435.0
101.0,1.0,22.0,1435.0,2.0,3.0,2.0,1.0,97.0,1244.0,1.0,5.0,1435.0,4.0,0.0,0.0,2.0,2.0,0.1,0.6,2.0,5.0,0.40555,0.42660000000000003,0.3845,-1.6,0.3999999999999999,-0.6000000000000001,1.0,5.0,1435.0
101.0,1.0,23.0,1435.0,3.0,5.0,1.0,2.0,97.0,1035.0,0.0,4.0,1435.0,4.0,0.0,0.0,2.0,2.0,0.1,0.6,2.0,5.0,0.40555,0.42660000000000003,0.3845,-1.6,0.3999999999999999,-0.6000000000000001,1.0,5.0,1435.0
101.0,1.0,24.0,1435.0,4.0,4.0,2.0,2.0,98.0,1424.0,1.0,5.0,1435.0,4.0,0.0,0.0,2.0,2.0,0.1,0.6,2.0,5.0,0.40555,0.42660000000000003,0.3845,-1.6,0.3999999999999999,-0.6000000000000001,1.0,5.0,1435.0
101.0,1.0,25.0,1435.0,5.0,5.0,2.0,1.0,98.0,1639.0,0.0,4.0,1435.0,4.0,0.0,0.0,2.0,2.0,0.1,0.6,2.0,5.0,0.40555,0.42660000000000003,0.3845,-1.6,0.3999999999999999,-0.6000000000000001,1.0,5.0,1435.0
101.0,1.0,26.0,1082.0,1.0,3.0,1.0,1.0,98.0,1380.0,0.0,2.0,1082.0,3.0,0.0,0.0,0.0,1.0,0.4,0.7,2.0,6.0,0.4940071875,0.5993625,0.38865187500000004,-1.2,0.09999999999999987,-0.55,1.0,6.0,1082.0
101.0,1.0,27.0,1082.0,2.0,2.0,1.0,1.0,97.0,1362.0,1.0,0.0,1082.0,3.0,0.0,0.0,0.0,1.0,0.4,0.7,2.0,6.0,0.4940071875,0.5993625,0.38865187500000004,-1.2,0.09999999999999987,-0.55,1.0,6.0,1082.0
101.0,1.0,28.0,1082.0,3.0,0.0,0.0,0.0,98.0,1069.0,0.0,0.0,1082.0,3.0,0.0,0.0,0.0,1.0,0.4,0.7,2.0,6.0,0.4940071875,0.5993625,0.38865187500000004,-1.2,0.09999999999999987,-0.55,1.0,6.0,1082.0
101.0,1.0,29.0,1082.0,4.0,0.0,0.0,0.0,98.0,514.0,0.0,0.0,1082.0,3.0,0.0,0.0,0.0,1.0,0.4,0.7,2.0,6.0,0.4940071875,0.5993625,0.38865187500000004,-1.2,0.09999999999999987,-0.55,1.0,6.0,1082.0
101.0,1.0,30.0,1082.0,5.0,0.0,0.0,0.0,98.0,817.0,0.0,0.0,1082.0,3.0,0.0,0.0,0.0,1.0,0.4,0.7,2.0,6.0,0.4940071875,0.5993625,0.38865187500000004,-1.2,0.09999999999999987,-0.55,1.0,6.0,1082.0
101.0,1.0,31.0,884.0,1.0,3.0,1.0,1.0,97.0,1107.0,1.0,1.0,884.0,3.0,0.0,0.0,3.0,4.0,0.2,0.6,2.0,5.0,0.4466,0.514,0.37920000000000004,-1.0,1.5999999999999999,0.29999999999999993,2.0,7.0,884.0
101.0,1.0,32.0,884.0,2.0,1.0,1.0,2.0,98.0,1283.0,1.0,4.0,884.0,3.0,0.0,0.0,3.0,4.0,0.2,0.6,2.0,5.0,0.4466,0.514,0.37920000000000004,-1.0,1.5999999999999999,0.29999999999999993,2.0,7.0,884.0
101.0,1.0,33.0,884.0,3.0,4.0,1.0,1.0,98.0,1283.0,0.0,3.0,884.0,3.0,0.0,0.0,3.0,4.0,0.2,0.6,2.0,5.0,0.4466,0.514,0.37920000000000004,-1.0,1.5999999999999999,0.29999999999999993,2.0,7.0,884.0
