,x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain,optimal_policy_cap
0,301,1,1,728,1,3,1,1,25.0,733,0,2,1,0.1,,4,4,2,0,0,0,-0.030375,2,0.0,-1.7,6.59714570188665,0,0,0,0,0,0,0,0,0,0,0,4,1,1.3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.7,0.1,1,3,0.1,0.4,-0.030375
1,301,1,2,728,2,2,2,1,2.0,1087,1,0,3,0.4,,4,3,2,0,-1,1,0.15,0,-0.6,2.2204460492503099e-16,6.99117688712121,0,0,0,0,0,0,0,0,0,0,0,5,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.0,0.4,1,3,0.1,0.4,0.15
2,301,1,3,728,3,0,0,0,2.0,825,0,0,0,3.0,,4,2,2,0,-2,0,0.0,0,0.0,4.0,6.71538338633468,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.4,0.0
3,301,1,4,728,4,0,0,0,2.0,577,0,0,0,3.0,,4,1,2,0,0,0,0.0,0,0.0,4.0,6.3578422665081,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.4,0.0
4,301,1,5,863,1,3,2,1,2.0,804,1,5,3,0.5,,3,3,1,0,0,1,0.25,2,0.0,0.5,6.68959926917897,0,0,0,0,0,0,0,0,0,0,0,5,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,1,3,0.2,0.5,0.25
5,301,1,6,863,2,5,2,1,2.0,698,1,5,3,0.5,,3,2,1,1,2,2,0.0,2,0.0,0.5,6.54821910276237,1,0,0,0,0,0,0,0,0,0,0,5,3,4.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1.0,0.0,1,3,0.2,0.5,-0.9
6,301,1,7,863,3,5,2,1,25.0,1402,0,4,3,0.5,,3,1,1,1,0,2,0.0,2,0.0,0.5,7.24565506759454,1,0,0,0,0,0,0,0,0,0,0,5,3,4.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1.0,0.0,1,3,0.2,0.5,-0.9
7,301,1,8,721,1,3,2,2,2.0,1197,0,2,0,0.4,,3,3,2,0,-1,1,0.1125,2,0.0,-1.2,7.08757370555797,0,0,0,0,0,0,0,0,0,0,0,3,1,1.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-1.2,0.4,0,0,0.1,0.4,0.1125
8,301,1,9,721,2,2,2,2,2.0,917,0,1,0,0.4,,3,2,2,0,-1,1,0.15,0,-0.6,-1.2,6.82110747225646,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,0,0.1,0.4,0.15
9,301,1,10,721,3,1,2,2,25.0,693,1,1,0,0.4,,3,1,2,0,-1,1,0.4,1,0.4,-1.2,6.5410299991899,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0,0,0.1,0.4,0.9
10,301,1,11,883,1,3,1,2,2.0,819,0,2,3,0.2,,3,3,1,0,0,1,0.0199999999999999,2,0.0,-1.0,6.70808408385307,0,0,0,0,0,0,0,0,0,0,0,5,1,1.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.2,0.2,3,3,0.2,0.6,0.0199999999999999
11,301,1,12,883,2,2,1,2,2.0,968,0,1,3,0.2,,3,2,1,0,-1,0,-0.2,0,-0.8,-1.0,6.87523208727658,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,-1.0,0.2,3,3,0.2,0.6,-0.2
12,301,1,13,883,3,1,2,2,25.0,604,1,0,3,0.6,,3,1,1,0,-1,1,0.6,1,0.6,1.0,6.40357419793482,0,0,0,0,0,0,0,0,0,0,1,4,0,2.4,1.4,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,3,3,0.2,0.6,0.9
13,301,1,14,275,1,2,1,1,25.0,1043,0,1,0,0.3,,5,5,2,0,-1,0,-0.14,0,-0.7,-1.4,6.94985645500077,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,1,0.3,-1.4,0.3,0,4,0.3,0.4,-0.14
14,301,1,15,275,2,1,1,1,2.0,1228,1,0,0,0.3,,5,4,2,0,-1,1,0.0713625,1,0.3,-1.4,7.11314210870709,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3,-0.7,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0,4,0.3,0.4,0.9
15,301,1,16,275,3,0,0,0,2.0,662,0,0,0,4.0,,5,3,2,0,-1,0,0.0,0,0.0,6.0,6.49526555593701,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,0,4,0.3,0.4,0.0
16,301,1,17,275,4,0,0,0,2.0,770,0,0,0,4.0,,5,2,2,0,0,0,0.0,0,0.0,6.0,6.64639051484773,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,0,4,0.3,0.4,0.0
17,301,1,18,275,5,0,0,0,2.0,935,0,0,0,4.0,,5,1,2,0,0,0,0.0,0,0.0,6.0,6.84054652928869,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,4.0,0,4,0.3,0.4,0.0
18,301,1,19,755,1,3,1,2,2.0,685,0,2,0,0.1,,4,4,1,0,0,0,-0.1143625,2,0.0,-1.8,6.52941883826223,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.1,0,4,0.1,0.6,-0.1143625
19,301,1,20,755,2,2,2,2,25.0,667,1,5,4,0.6,,4,3,1,0,-1,1,0.2825,0,-0.4,1.6,6.50279004591562,0,0,0,0,0,0,0,0,0,0,0,5,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,1.0,0.6,0,4,0.1,0.6,0.2825
20,301,1,21,755,3,5,1,1,25.0,892,0,4,0,0.1,,4,2,1,1,3,2,0.0,2,0.0,-1.8,6.79346613258001,1,0,0,0,0,0,0,0,0,0,0,5,3,3.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.0,0,4,0.1,0.6,-0.9
21,301,1,22,755,4,4,1,1,25.0,864,0,3,0,0.1,,4,1,1,1,-1,2,0.0,2,0.0,-1.8,6.76157276880406,1,0,0,0,0,0,0,0,0,0,0,4,2,2.2,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0.0,0,4,0.1,0.6,-0.9
22,301,1,23,865,1,3,1,1,25.0,1343,0,2,2,0.2,,4,4,1,0,-1,1,0.0549999999999999,2,0.0,-1.2,7.20266119652324,0,0,0,0,0,0,0,0,0,0,0,5,1,1.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.2,0.2,2,2,0.2,0.5,0.0549999999999999
23,301,1,24,865,2,2,1,1,25.0,1196,0,1,2,0.2,,4,3,1,0,-1,0,-0.15,0,-0.8,-1.2,7.08673793451058,0,0,0,0,0,0,0,0,0,0,0,4,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.2,-1.2,0.2,2,2,0.2,0.5,-0.15
24,301,1,25,865,3,1,2,2,25.0,766,1,3,2,0.5,,4,2,1,0,-1,1,0.5,1,0.5,0.0,6.64118216974059,0,0,0,0,0,0,0,0,0,0,1,3,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,2,2,0.2,0.5,0.9
25,301,1,26,865,4,3,1,2,2.0,850,0,2,2,0.2,,4,1,1,1,2,2,0.0,2,0.0,-1.2,6.74523634948436,1,0,0,0,0,0,0,0,0,0,0,5,1,1.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1.2,0.0,2,2,0.2,0.5,-0.9
