x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
306,1,1,576,1,2,2,2,2,639,0,1,1,0.9,NaN,4,4,2,0,0,1,0.225,0,-0.1,0.7,6.45990445437753,0,0,0,0,0,0,0,0,0,0,0,3,0,2.7,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.7,0.9,1,1,0.6,0.9
306,1,2,576,2,1,1,2,25,729,1,2,1,0.6,NaN,4,3,2,0,-1,1,0.495,1,0.6,-0.2,6.59167373200866,0,0,0,0,0,0,0,0,0,0,1,2,0,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.6,0.9
306,1,3,576,3,2,1,1,2,1087,1,3,1,0.6,NaN,4,2,2,0,1,0,-0.15,0,-0.4,-0.2,6.99117688712121,0,0,0,0,0,0,0,0,0,0,0,3,0,1.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.2,0.6,1,1,0.6,0.9
306,1,4,576,4,3,1,2,2,1211,0,2,1,0.6,NaN,4,1,2,1,1,2,0,2,0,-0.2,7.09920174355309,1,0,0,0,0,0,0,0,0,0,0,4,1,2.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.2,0,1,1,0.6,0.9
306,1,5,494,1,2,1,1,2,969,1,0,3,0.5,NaN,4,4,1,0,-1,0,-0.1,0,-0.5,0.5,6.87626461189077,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,3,4,0.5,0.7
306,1,6,494,2,0,0,0,25,602,0,0,0,4,NaN,4,3,1,0,-2,0,0,0,0,6,6.40025744530882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.5,0.7
306,1,7,494,3,0,0,0,2,633,0,0,0,4,NaN,4,2,1,0,0,0,0,0,0,6,6.45047042214418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.5,0.7
306,1,8,494,4,0,0,0,25,709,0,0,0,4,NaN,4,1,1,0,0,0,0,0,0,6,6.56385552653213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,3,4,0.5,0.7
306,1,9,68,1,2,2,2,25,1217,1,0,3,0.5,NaN,4,4,2,0,0,1,0.23,0,-0.5,0.5,7.10414409298753,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,3,0.1,0.5
306,1,10,68,2,0,0,0,25,285,0,0,0,3,NaN,4,3,2,0,-2,0,0,0,0,4,5.65248918026865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.5
306,1,11,68,3,0,0,0,25,396,0,0,0,3,NaN,4,2,2,0,0,0,0,0,0,4,5.98141421125448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.5
306,1,12,68,4,0,0,0,NaN,2001,0,0,0,3,NaN,4,1,2,0,0,0,0,0,0,4,7.60140233458373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0.1,0.5
306,1,13,391,1,2,1,2,2,1565,0,1,0,0.4,NaN,5,5,1,0,0,0,-0.00269999999999992,0,-0.6,-1.2,7.35564110297425,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,0,0.4,0.6
306,1,14,391,2,1,2,1,2,914,1,0,0,0.6,NaN,5,4,1,0,-1,1,0.075,1,0.6,-0.8,6.81783057145415,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.4,0.6
